#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	7.44	7.53	7.53	7.53	1.00

1	7.99	7.98	8.00	7.99	0.94	1.00
2	5.42	5.17	5.38	5.38	1.40	1.49
3	4.35	4.35	4.44	4.35	1.73	1.84
4	3.97	3.85	3.82	3.85	1.96	2.08
5	3.64	3.59	3.65	3.64	2.07	2.20
6	3.41	3.40	3.48	3.41	2.21	2.34
7	3.32	3.31	3.36	3.32	2.27	2.41
8	3.17	3.16	3.16	3.16	2.38	2.53
