#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	5.019732	5.043341	5.010455	5.019732	1.00

1	12.340895	12.363962	12.318351	12.340895	0.41	1.00
2	9.187604	8.842729	8.348292	8.842729	0.57	1.40
3	7.857896	7.93189	7.821418	7.857896	0.64	1.57
4	7.572354	7.213164	6.910276	7.213164	0.70	1.71
5	8.502878	8.657146	8.649198	8.649198	0.58	1.43
6	9.743713	8.624212	10.020463	9.743713	0.52	1.27
7	9.700466	9.693544	9.463054	9.693544	0.52	1.27
8	9.917583	9.709425	9.574106	9.709425	0.52	1.27
