#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.22	0.21	0.21	0.21	1.00

1	0.22	0.22	0.22	0.22	0.95	1.00
2	0.20	0.20	0.20	0.20	1.05	1.10
3	0.19	0.19	0.19	0.19	1.11	1.16
4	0.18	0.20	0.19	0.19	1.11	1.16
5	0.18	0.17	0.17	0.17	1.24	1.29
6	0.19	0.17	0.18	0.18	1.17	1.22
7	0.17	0.17	0.17	0.17	1.24	1.29
8	0.18	0.17	0.17	0.17	1.24	1.29
