#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	5.208465	5.205405	5.206038	5.206038	1.00

1	5.959945	5.925996	5.9663	5.959945	0.87	1.00
2	6.101995	6.067284	6.100406	6.100406	0.85	0.98
3	6.901686	7.090542	7.188154	7.090542	0.73	0.84
4	7.194156	7.19405	7.176381	7.19405	0.72	0.83
5	7.172442	7.11911	7.216441	7.172442	0.73	0.83
6	7.035585	7.084419	7.248373	7.084419	0.73	0.84
7	7.102277	7.444287	7.248549	7.248549	0.72	0.82
8	7.440132	7.499108	7.359213	7.440132	0.70	0.80
