#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	13.452917	13.502366	13.496013	13.496013	1.00

1	15.658399	15.564881	15.637248	15.637248	0.86	1.00
2	16.964334	16.947857	17.010111	16.964334	0.80	0.92
3	15.178297	15.353536	15.824016	15.353536	0.88	1.02
4	14.782875	14.689402	14.69593	14.69593	0.92	1.06
5	14.741421	14.64905	14.778136	14.741421	0.92	1.06
6	14.645459	14.758401	14.698332	14.698332	0.92	1.06
7	14.928573	15.227851	14.761218	14.928573	0.90	1.05
8	15.022407	15.158968	15.10687	15.10687	0.89	1.04
