#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.476758	0.47267	0.475575	0.475575	1.00

1	0.540718	0.538546	0.537017	0.538546	0.88	1.00
2	0.523264	0.523858	0.518967	0.523264	0.91	1.03
3	0.476847	0.45952	0.466211	0.466211	1.02	1.16
4	0.357341	0.352762	0.360958	0.357341	1.33	1.51
5	0.37279	0.346705	0.398357	0.37279	1.28	1.44
6	0.361254	0.345771	0.320009	0.345771	1.38	1.56
7	0.312819	0.310602	0.323526	0.312819	1.52	1.72
8	0.321247	0.353844	0.302382	0.321247	1.48	1.68
