#PE	Runtimes	Speedups
1	15.637248	0.86
2	16.964334	0.80
3	15.353536	0.88
4	14.69593	0.92
5	14.741421	0.92
6	14.698332	0.92
7	14.928573	0.90
8	15.10687	0.89
