#PE	Runtimes	Speedups
1	0.048656	0.95
2	0.026891	1.72
3	0.020585	2.25
4	0.016751	2.76
5	0.016348	2.83
6	0.012912	3.58
7	0.013629	3.40
8	0.011776	3.93
