#PE	Runtimes	Speedups
1	0.538546	0.88
2	0.523264	0.91
3	0.466211	1.02
4	0.357341	1.33
5	0.37279	1.28
6	0.345771	1.38
7	0.312819	1.52
8	0.321247	1.48
