#PE	Runtimes	Speedups
1	5.959945	0.87
2	6.100406	0.85
3	7.090542	0.73
4	7.19405	0.72
5	7.172442	0.73
6	7.084419	0.73
7	7.248549	0.72
8	7.440132	0.70
