#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.058614	0.058855	0.058371	0.058614	1.00

1	0.07121	0.071059	0.071081	0.071081	0.82	1.00
2	0.039573	0.040749	0.03991	0.03991	1.47	1.78
3	0.030066	0.030416	0.034543	0.030416	1.93	2.34
4	0.029002	0.023503	0.02543	0.02543	2.30	2.80
5	0.026903	0.02307	0.02545	0.02545	2.30	2.79
6	0.020463	0.02674	0.023285	0.023285	2.52	3.05
7	0.027162	0.01993	0.024682	0.024682	2.37	2.88
8	0.027303	0.02449	0.022983	0.02449	2.39	2.90
