#PE	Runtimes	Speedups
1	0.744979	0.96
2	0.461518	1.55
3	0.352895	2.02
4	0.367239	1.94
5	0.337482	2.11
6	0.32141	2.22
7	0.335741	2.13
8	0.335451	2.13
