#PE	Runtimes	Speedups
1	0.072224	0.79
2	0.040542	1.40
3	0.043556	1.31
4	0.03591	1.58
5	0.03556	1.60
6	0.037139	1.53
7	0.035715	1.59
8	0.035427	1.61
