#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.733145	0.713584	0.713233	0.713584	1.00

1	0.744292	0.749514	0.744979	0.744979	0.96	1.00
2	0.454953	0.465511	0.461518	0.461518	1.55	1.61
3	0.438728	0.352895	0.348938	0.352895	2.02	2.11
4	0.376606	0.365145	0.367239	0.367239	1.94	2.03
5	0.334128	0.346093	0.337482	0.337482	2.11	2.21
6	0.317649	0.32141	0.346265	0.32141	2.22	2.32
7	0.335741	0.334585	0.357209	0.335741	2.13	2.22
8	0.325169	0.336048	0.335451	0.335451	2.13	2.22
