#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.061457	0.056891	0.056864	0.056891	1.00

1	0.072811	0.072224	0.072065	0.072224	0.79	1.00
2	0.040542	0.049854	0.039047	0.040542	1.40	1.78
3	0.039749	0.043556	0.04975	0.043556	1.31	1.66
4	0.040349	0.03591	0.035449	0.03591	1.58	2.01
5	0.03168	0.038278	0.03556	0.03556	1.60	2.03
6	0.038007	0.037139	0.036563	0.037139	1.53	1.94
7	0.036292	0.035715	0.03266	0.035715	1.59	2.02
8	0.032265	0.036796	0.035427	0.035427	1.61	2.04
