#PE	Runtimes	Speedups
1	0.071081	0.82
2	0.03991	1.47
3	0.030416	1.93
4	0.02543	2.30
5	0.02545	2.30
6	0.023285	2.52
7	0.024682	2.37
8	0.02449	2.39
