#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	47.79	47.71	47.67	47.71	1.00

1	50.75	50.85	50.70	50.75	0.94	1.00
2	26.16	26.06	25.90	26.06	1.83	1.95
3	17.07	17.08	16.75	17.07	2.79	2.97
4	12.30	13.56	12.20	12.30	3.88	4.13
5	9.70	10.52	9.70	9.70	4.92	5.23
6	8.51	9.09	8.70	8.70	5.48	5.83
7	7.60	7.76	7.70	7.70	6.20	6.59
8	6.89	6.66	6.98	6.89	6.92	7.37
