#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	246.023088	248.346454	248.412285	248.346454	1.00

1	263.650962	258.525657	259.405709	259.405709	0.96	1.00
2	137.999616	136.836397	125.364015	136.836397	1.81	1.90
3	93.53275	93.785971	93.746223	93.746223	2.65	2.77
4	71.829685	70.639642	70.904542	70.904542	3.50	3.66
5	79.096525	77.675393	78.386228	78.386228	3.17	3.31
6	68.036621	67.757307	80.548986	68.036621	3.65	3.81
7	70.495523	71.479204	70.402116	70.495523	3.52	3.68
8	66.930237	66.455694	67.351305	66.930237	3.71	3.88
