#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	17.95	17.96	17.97	17.96	1.00

1	17.99	17.99	17.99	17.99	1.00	1.00
2	9.62	9.63	9.52	9.62	1.87	1.87
3	6.27	6.13	6.51	6.27	2.86	2.87
4	4.85	4.76	4.88	4.85	3.70	3.71
5	3.94	3.95	3.94	3.94	4.56	4.57
6	3.30	3.31	3.30	3.30	5.44	5.45
7	2.87	2.84	2.85	2.85	6.30	6.31
8	2.50	2.50	2.52	2.50	7.18	7.20
