#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	3.34	3.34	3.34	3.34	1.00

1	3.45	3.46	3.45	3.45	0.97	1.00
2	1.88	1.94	1.88	1.88	1.78	1.84
3	1.27	1.28	1.28	1.28	2.61	2.70
4	1.01	1.09	1.04	1.04	3.21	3.32
5	0.85	0.88	0.83	0.85	3.93	4.06
6	0.73	0.72	0.72	0.72	4.64	4.79
7	0.64	0.64	0.64	0.64	5.22	5.39
8	0.58	0.58	0.60	0.58	5.76	5.95
