#PE	Runtimes	Speedups
1	0.061929	0.81
2	0.035941	1.39
3	0.028945	1.72
4	0.023021	2.17
5	0.021696	2.30
6	0.020853	2.39
7	0.019677	2.54
8	0.021482	2.32
