#PE	Runtimes	Speedups
1	0.762205	0.93
2	0.480656	1.47
3	0.439548	1.61
4	0.368033	1.92
5	0.338942	2.08
6	0.326859	2.16
7	0.338314	2.09
8	0.353767	2.00
