#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.706672	0.706655	0.706073	0.706655	1.00

1	0.762205	0.76306	0.752738	0.762205	0.93	1.00
2	0.481501	0.480656	0.473667	0.480656	1.47	1.59
3	0.452825	0.428338	0.439548	0.439548	1.61	1.73
4	0.367045	0.370741	0.368033	0.368033	1.92	2.07
5	0.335918	0.338942	0.339867	0.338942	2.08	2.25
6	0.326859	0.31612	0.328456	0.326859	2.16	2.33
7	0.34537	0.338314	0.210814	0.338314	2.09	2.25
8	0.353767	0.331428	0.366181	0.353767	2.00	2.15
