#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.049921	0.05002	0.049907	0.049921	1.00

1	0.061929	0.061962	0.061654	0.061929	0.81	1.00
2	0.036021	0.035941	0.034868	0.035941	1.39	1.72
3	0.028945	0.030475	0.027781	0.028945	1.72	2.14
4	0.026881	0.023021	0.022862	0.023021	2.17	2.69
5	0.018931	0.023011	0.021696	0.021696	2.30	2.85
6	0.02074	0.020853	0.026924	0.020853	2.39	2.97
7	0.025536	0.019677	0.018149	0.019677	2.54	3.15
8	0.019955	0.026142	0.021482	0.021482	2.32	2.88
