#PE	Runtimes	Speedups
1	0.062512	0.81
2	0.034265	1.48
3	0.030842	1.64
4	0.024299	2.08
5	0.022281	2.27
6	0.024457	2.07
7	0.025108	2.02
8	0.022418	2.26
