#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.050591	0.050665	0.050598	0.050598	1.00

1	0.062514	0.062512	0.062189	0.062512	0.81	1.00
2	0.033929	0.034265	0.034589	0.034265	1.48	1.82
3	0.030842	0.027802	0.031706	0.030842	1.64	2.03
4	0.022657	0.027715	0.024299	0.024299	2.08	2.57
5	0.027502	0.022281	0.021299	0.022281	2.27	2.81
6	0.024457	0.022702	0.024865	0.024457	2.07	2.56
7	0.022703	0.02892	0.025108	0.025108	2.02	2.49
8	0.016496	0.022418	0.025446	0.022418	2.26	2.79
