#PE	Runtimes	Speedups
1	259.405709	0.96
2	136.836397	1.81
3	93.746223	2.65
4	70.904542	3.50
5	78.386228	3.17
6	68.036621	3.65
7	70.495523	3.52
8	66.930237	3.71
