#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.618762	0.618474	0.619444	0.618762	1.00

1	0.674607	0.674838	0.672798	0.674607	0.92	1.00
2	0.447564	0.447799	0.445351	0.447564	1.38	1.51
3	0.362593	0.356561	0.356831	0.356831	1.73	1.89
4	0.396743	0.418032	0.397828	0.397828	1.56	1.70
5	0.397138	0.363495	0.429216	0.397138	1.56	1.70
6	0.341911	0.337649	0.241447	0.337649	1.83	2.00
7	0.331377	0.326625	0.319395	0.326625	1.89	2.07
8	0.347004	0.31964	0.329022	0.329022	1.88	2.05
