#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.046245	0.046269	0.046246	0.046246	1.00

1	0.048647	0.048653	0.048643	0.048647	0.95	1.00
2	0.027783	0.028075	0.02765	0.027783	1.66	1.75
3	0.021998	0.024777	0.023264	0.023264	1.99	2.09
4	0.018544	0.022267	0.018158	0.018544	2.49	2.62
5	0.019577	0.015352	0.019001	0.019001	2.43	2.56
6	0.014407	0.016907	0.016694	0.016694	2.77	2.91
7	0.016774	0.01584	0.016591	0.016591	2.79	2.93
8	0.014742	0.014591	0.015674	0.014742	3.14	3.30
