#PE	Runtimes	Speedups
1	0.048647	0.95
2	0.027783	1.66
3	0.023264	1.99
4	0.018544	2.49
5	0.019001	2.43
6	0.016694	2.77
7	0.016591	2.79
8	0.014742	3.14
