#PE	Run1	Run2	Run3	Median	Abs.   	Rel.
#  	 (s)	 (s)	 (s)	   (s)	Speedup	Speedup

Seq	0.046318	0.046265	0.046286	0.046286	1.00

1	0.048706	0.048656	0.048655	0.048656	0.95	1.00
2	0.028458	0.026798	0.026891	0.026891	1.72	1.81
3	0.020984	0.020585	0.01907	0.020585	2.25	2.36
4	0.016677	0.019068	0.016751	0.016751	2.76	2.90
5	0.017666	0.013432	0.016348	0.016348	2.83	2.98
6	0.012516	0.012912	0.014125	0.012912	3.58	3.77
7	0.013629	0.013346	0.013689	0.013629	3.40	3.57
8	0.011953	0.011776	0.011767	0.011776	3.93	4.13
