#PE	Runtimes	Speedups
1	0.674607	0.92
2	0.447564	1.38
3	0.356831	1.73
4	0.397828	1.56
5	0.397138	1.56
6	0.337649	1.83
7	0.326625	1.89
8	0.329022	1.88
